"","CUSTOMER_CANCEL_REASON_OTHER","BASE_PRICE","BCC5520_AVG","REV7430_AVG","ILN6200A_PCT","OPTIONS_PRICE","BCC5421_AVG","ALL6200A_PCT","ALL6280A_PCT","ILN7430_AVG","BCC5520_AVG_missing","OPTIONS_PRICE_missing"
"1",0,356,1081,53.94,20,168,1036.11,15,16,53.27,0,0
"2",0,576,6657.4,87.24,69,0,5274.93,54,62,75.69,0,0
"3",0,639,9250,53.27,33,0,9250,7,7,64.25,0,0
"4",0,0,5832.13,88.75,64,564,3650,23,42,88.82,0,0
"5",0,356,7434.11,80.58,43,120,8755.56,50,58,54.86,0,0
"6",0,356,5569.17,84.27,64,0,4850,30,35,67,0,0
"7",0,356,7161.27,59.61,51,160,6553.95,37,37,72.11,1,0
"8",0,356,8159.43,84.43,72,144,9629.17,46,48,76.83,1,0
"9",0,356,2868.6,73.86,57,108,3258,38,38,78.57,0,0
"10",0,0,3047,72.06,13,639,5487.5,39,53,54.5,0,0
"11",0,385,8169.3,86.81,83,85,6145,41,56,89.58,0,0
"12",0,356,10162,84.16,69,0,7639.29,54,52,88.69,0,0
"13",0,688,7767.37,92.04,80,0,6710,63,67,86.68,0,0
"14",0,356,8081.71,99,83,168,5394.57,40,64,94.5,0,0
"15",0,528,4098.29,69.2,43,0,2300,28,27,80.36,0,0
"16",0,0,6364.71,81.33,73,494,9857.14,53,53,85,0,0
"17",0,356,9232.82,85.08,100,156,7059.09,44,57,100,0,0
"18",0,356,7872.5,99.11,100,120,9850,78,88,100,0,0
"19",0,336,3442.31,78.94,41,132,2650,30,50,72.2,1,0
"20",0,669,6292.25,95.5,82,0,6050,63,62,89.45,0,0
"21",0,639,2228.33,71.42,45,0,2858.33,23,33,89,0,0
"22",0,544,6631.67,90.75,71,0,6833.33,56,67,83.43,0,0
"23",0,0,3088.8,58.86,79,594,2975,25,30,70.33,1,0
"24",0,356,4276.25,74.44,43,120,3192.5,27,40,88,0,0
"25",0,385,3643.43,74.63,64,0,4437.14,31,46,74.73,0,0
"26",0,639,9675.1,92.79,100,70,8281.82,70,81,77.78,1,0
"27",0,0,4210.7,68.6,48,505,3192.5,33,61,94.5,1,0
"28",0,356,3757.48,75.94,60,144,3418.18,29,23,75.34,1,0
"29",0,374,5717.44,84.42,62,0,6381.18,45,58,79.49,0,0
"30",0,508,13551.43,87,86,0,13642.86,42,60,85.71,0,0
"31",0,669,8111.35,98.21,85,40,6273.53,74,74,91,0,0
"32",0,622,3679.34,84.75,72,0,3558.1,42,58,87.69,0,0
"33",0,669,3125.75,77.86,60,0,2637.5,39,50,70.6,0,0
"34",0,0,5631.94,93.19,64,424,3906.25,32,47,71.43,0,0
"35",0,0,4921.83,81.54,63,436,4232.64,46,60,73.81,0,0
"36",0,444,6256.29,80.44,50,0,4314.29,40,67,78.67,0,0
"37",0,688,3720,80.38,70,0,3860,23,42,88,0,0
"38",0,356,9749.36,90.27,65,0,7689.29,42,58,89.35,0,0
"39",0,569,6893.78,98.41,63,0,6177.78,54,57,58.38,0,0
"40",0,0,4378.13,86,63,596,4275,29,23,86.5,0,0
"41",0,356,4789,76.89,82,120,5411.11,33,45,81.24,0,0
"42",0,0,4212.5,82.87,55,679,3487.5,35,57,58.82,0,0
"43",0,799,8856,78,38,160,9427.73,42,43,67.23,0,0
"44",0,356,300,70,50,132,300,10,11,33.33,0,0
"45",0,494,9013.87,73.91,41,0,8510.71,40,25,65.9,1,0
"46",0,356,3677.88,71.1,57,168,2812.5,13,40,77.29,0,0
"47",0,639,6898.54,89.09,71,0,7085.9,40,54,90.45,0,0
"48",0,356,3685,94.11,63,144,4160,44,67,77.5,0,0
"49",0,639,7908.3,73.06,54,0,5410,24,48,76.69,0,0
"50",0,639,5743.71,83.61,67,0,6350,18,40,84.05,1,0
"51",0,356,4177.39,82.5,44,168,3616.61,23,30,70.72,0,0
"52",0,0,11781.85,93.55,86,491,8854.41,63,76,89.32,0,0
"53",0,564,5706.42,84,57,0,5450,33,39,70.07,0,0
"54",0,639,5528.71,88.22,75,0,6107.14,50,50,87.5,0,0
"55",0,356,3071.67,62.75,67,144,4028.33,25,33,66.67,0,0
"56",0,639,11282.22,94.73,100,160,10566.67,73,73,100,0,0
"57",0,479,9114.86,82.69,63,121,8668.75,44,55,80.36,1,0
"58",0,404,6782.55,74.74,76,156,6359.09,50,57,89.8,0,0
"59",0,0,7445,97.25,73,531,6555,50,63,67.33,0,0
"60",0,356,9584,79.88,50,168,8907.14,11,63,74,0,0
"61",0,489,5012.6,79.62,72,218,3604.93,44,50,77.16,1,0
"62",0,356,5986.25,93.27,80,168,6375,58,82,92.5,0,0
"63",0,228,5625.56,82.44,67,0,5933.33,44,44,88,0,0
"64",0,514,10986.55,98.21,88,160,8994.43,66,89,89.38,0,0
"65",0,374,2240.93,76.34,64,0,1847.86,34,36,74.41,0,0
"66",0,569,7079,94.67,76,0,6384.78,31,63,72.88,1,0
"67",0,356,9761.86,90.33,79,132,8289.57,43,54,86.94,0,0
"68",0,356,4441.07,83.45,60,120,3430,36,48,79.4,0,0
"69",0,395,5631.64,86,60,0,5382.47,55,68,82.2,0,0
"70",0,0,9913.6,81.6,79,546,8241.6,38,58,91.68,0,0
"71",1,586,3188.33,77.67,73,0,2111.11,53,69,82.8,0,0
"72",0,356,6522.17,86,61,144,5924.06,43,55,86.56,0,0
"73",0,514,9802.88,93.69,78,0,9103.62,57,67,88.46,0,0
"74",0,639,6094.67,93,89,0,7727.78,45,58,85,1,0
"75",0,404,6467.06,84.5,74,156,5266.21,45,61,84.06,0,0
"76",0,514,19044.33,83.8,78,0,22433.33,8,9,88.22,0,0
"77",0,326,5366,61.89,38,0,6208.33,17,30,40.25,0,0
"78",0,379,7938.08,88,78,0,6447.08,50,60,89.95,0,0
"79",0,356,1761.17,50.36,27,156,2166.67,25,21,72.64,0,0
"80",0,356,6360.76,83.9,78,156,5862.42,53,62,80.22,0,0
"81",0,639,3970.75,85.18,55,0,4200,32,41,73.18,0,0
"82",0,356,19363.38,99,100,168,21253.85,81,93,100,0,0
"83",0,356,3166.64,68.09,44,168,2960.57,7,10,57.88,0,0
"84",0,326,4670.33,86.95,67,0,3743.33,36,48,78.9,0,0
"85",0,399,5622.88,79.69,71,0,3900,24,27,78.36,0,0
