"","sale","CUSTOMER_CANCEL_REASON_OTHER","BASE_PRICE","BCC5520_AVG","REV7430_AVG","ILN6200A_PCT","OPTIONS_PRICE","BCC5421_AVG","ALL6200A_PCT","ALL6280A_PCT","ILN7430_AVG"
"438470404",0,0,356,1081,53.94,20,168,1036.11,15,16,53.27
"438483293",0,0,576,6657.4,87.24,69,0,5274.93,54,62,75.69
"384102581",0,0,639,9250,53.27,33,0,9250,7,7,64.25
"381927133",0,0,0,5832.13,88.75,64,564,3650,23,42,88.82
"384187210",0,0,356,7434.11,80.58,43,120,8755.56,50,58,54.86
"407499485",0,0,356,5569.17,84.27,64,0,4850,30,35,67
"388803893",1,0,356,NA,NA,NA,160,NA,NA,NA,NA
"392074461",0,0,356,NA,NA,NA,144,NA,NA,NA,NA
"418382806",0,0,356,2868.6,73.86,57,108,3258,38,38,78.57
"384035241",0,0,0,3047,72.06,13,639,5487.5,39,53,54.5
"440330837",0,0,385,8169.3,86.81,83,85,6145,41,56,89.58
"409351370",0,0,356,10162,84.16,69,0,7639.29,54,52,88.69
"396180684",0,0,688,7767.37,92.04,80,0,6710,63,67,86.68
"400714807",0,0,356,8081.71,99,83,168,5394.57,40,64,94.5
"413526935",1,0,528,4098.29,69.2,43,0,2300,28,27,80.36
"384075791",0,0,0,6364.71,81.33,73,494,9857.14,53,53,85
"391927006",0,0,356,9232.82,85.08,100,156,7059.09,44,57,100
"438497137",0,0,356,7872.5,99.11,100,120,9850,78,88,100
"400622004",0,0,336,NA,NA,NA,132,NA,NA,NA,NA
"409286011",1,0,669,6292.25,95.5,82,0,6050,63,62,89.45
"438590179",0,0,639,2228.33,71.42,45,0,2858.33,23,33,89
"380937789",0,0,544,6631.67,90.75,71,0,6833.33,56,67,83.43
"418462300",0,0,0,NA,NA,NA,594,NA,NA,NA,NA
"413648689",0,0,356,4276.25,74.44,43,120,3192.5,27,40,88
"440232936",1,0,385,3643.43,74.63,64,0,4437.14,31,46,74.73
"413759500",1,0,639,NA,NA,NA,70,NA,NA,NA,NA
"400526285",0,0,0,NA,NA,NA,505,NA,NA,NA,NA
"400682814",0,0,356,NA,NA,NA,144,NA,NA,NA,NA
"396175869",0,0,374,5717.44,84.42,62,0,6381.18,45,58,79.49
"413762771",1,0,508,13551.43,87,86,0,13642.86,42,60,85.71
"437872786",0,0,669,8111.35,98.21,85,40,6273.53,74,74,91
"444578034",1,0,622,3679.34,84.75,72,0,3558.1,42,58,87.69
"384107385",1,0,669,3125.75,77.86,60,0,2637.5,39,50,70.6
"438634371",0,0,0,5631.94,93.19,64,424,3906.25,32,47,71.43
"395981518",0,0,0,4921.83,81.54,63,436,4232.64,46,60,73.81
"384276911",0,0,444,6256.29,80.44,50,0,4314.29,40,67,78.67
"413490270",0,0,688,3720,80.38,70,0,3860,23,42,88
"396083979",0,0,356,9749.36,90.27,65,0,7689.29,42,58,89.35
"418437591",0,0,569,6893.78,98.41,63,0,6177.78,54,57,58.38
"407306608",0,0,0,4378.13,86,63,596,4275,29,23,86.5
"391945226",0,0,356,4789,76.89,82,120,5411.11,33,45,81.24
"437988832",1,0,0,4212.5,82.87,55,679,3487.5,35,57,58.82
