"","CUSTOMER_CANCEL_REASON_OTHER","BASE_PRICE","BCC5520_AVG","ILN6200A_PCT","REV7430_AVG","OPTIONS_PRICE","BCC5421_AVG","ALL6200A_PCT","ALL6280A_PCT","ILN7430_AVG","BCC5520_AVG_missing","OPTIONS_PRICE_missing"
"1",0,356,1081,20,53.94,168,1036.11,15,16,53.27,0,0
"2",0,576,6657.4,69,87.24,0,5274.93,54,62,75.69,0,0
"3",0,639,9250,33,53.27,0,9250,7,7,64.25,0,0
"4",0,0,5832.13,64,88.75,564,3650,23,42,88.82,0,0
"5",0,356,7434.11,43,80.58,120,8755.56,50,58,54.86,0,0
"6",0,356,5569.17,64,84.27,0,4850,30,35,67,0,0
"7",0,356,4097.23,56,63.42,160,2918.18,29,40,92.1,1,0
"8",0,356,4430.82,25,72.78,144,5336.36,25,21,37,1,0
"9",0,356,2868.6,57,73.86,108,3258,38,38,78.57,0,0
"10",0,0,3047,13,72.06,639,5487.5,39,53,54.5,0,0
"11",0,385,8169.3,83,86.81,85,6145,41,56,89.58,0,0
"12",0,356,10162,69,84.16,0,7639.29,54,52,88.69,0,0
"13",0,688,7767.37,80,92.04,0,6710,63,67,86.68,0,0
"14",0,356,8081.71,83,99,168,5394.57,40,64,94.5,0,0
"15",0,528,4098.29,43,69.2,0,2300,28,27,80.36,0,0
"16",0,0,6364.71,73,81.33,494,9857.14,53,53,85,0,0
"17",0,356,9232.82,100,85.08,156,7059.09,44,57,100,0,0
"18",0,356,7872.5,100,99.11,120,9850,78,88,100,0,0
"19",0,336,9836,70,85.3,132,9432.05,64,72,84.93,1,0
"20",0,669,6292.25,82,95.5,0,6050,63,62,89.45,0,0
"21",0,639,2228.33,45,71.42,0,2858.33,23,33,89,0,0
"22",0,544,6631.67,71,90.75,0,6833.33,56,67,83.43,0,0
"23",0,0,6128,50,60.38,594,5410.53,14,13,80.8,1,0
"24",0,356,4276.25,43,74.44,120,3192.5,27,40,88,0,0
"25",0,385,3643.43,64,74.63,0,4437.14,31,46,74.73,0,0
"26",0,639,20755.84,100,97.18,70,18800,77,78,100,1,0
"27",0,0,5168.92,58,80.78,505,6066.67,23,41,77.14,1,0
"28",0,356,3503.77,68,76.33,144,4311.67,42,52,89.28,1,0
"29",0,374,5717.44,62,84.42,0,6381.18,45,58,79.49,0,0
"30",0,508,13551.43,86,87,0,13642.86,42,60,85.71,0,0
"31",0,669,8111.35,85,98.21,40,6273.53,74,74,91,0,0
"32",0,622,3679.34,72,84.75,0,3558.1,42,58,87.69,0,0
"33",0,669,3125.75,60,77.86,0,2637.5,39,50,70.6,0,0
"34",0,0,5631.94,64,93.19,424,3906.25,32,47,71.43,0,0
"35",0,0,4921.83,63,81.54,436,4232.64,46,60,73.81,0,0
"36",0,444,6256.29,50,80.44,0,4314.29,40,67,78.67,0,0
"37",0,688,3720,70,80.38,0,3860,23,42,88,0,0
"38",0,356,9749.36,65,90.27,0,7689.29,42,58,89.35,0,0
"39",0,569,6893.78,63,98.41,0,6177.78,54,57,58.38,0,0
"40",0,0,4378.13,63,86,596,4275,29,23,86.5,0,0
"41",0,356,4789,82,76.89,120,5411.11,33,45,81.24,0,0
"42",0,0,4212.5,55,82.87,679,3487.5,35,57,58.82,0,0
"43",0,799,8856,38,78,160,9427.73,42,43,67.23,0,0
"44",0,356,300,50,70,132,300,10,11,33.33,0,0
"45",0,494,11455.29,90,94.61,0,9090.32,67,82,90.23,1,0
"46",0,356,3677.88,57,71.1,168,2812.5,13,40,77.29,0,0
"47",0,639,6898.54,71,89.09,0,7085.9,40,54,90.45,0,0
"48",0,356,3685,63,94.11,144,4160,44,67,77.5,0,0
"49",0,639,7908.3,54,73.06,0,5410,24,48,76.69,0,0
"50",0,639,8314,76,86.09,0,5585.56,63,57,76.75,1,0
"51",0,356,4177.39,44,82.5,168,3616.61,23,30,70.72,0,0
"52",0,0,11781.85,86,93.55,491,8854.41,63,76,89.32,0,0
"53",0,564,5706.42,57,84,0,5450,33,39,70.07,0,0
"54",0,639,5528.71,75,88.22,0,6107.14,50,50,87.5,0,0
"55",0,356,3071.67,67,62.75,144,4028.33,25,33,66.67,0,0
"56",0,639,11282.22,100,94.73,160,10566.67,73,73,100,0,0
"57",0,479,8052.15,90,99.5,121,6707.5,95,100,90.38,1,0
"58",0,404,6782.55,76,74.74,156,6359.09,50,57,89.8,0,0
"59",0,0,7445,73,97.25,531,6555,50,63,67.33,0,0
"60",0,356,9584,50,79.88,168,8907.14,11,63,74,0,0
"61",0,489,6526.6,58,82.35,218,5929.3,22,20,81.93,1,0
"62",0,356,5986.25,80,93.27,168,6375,58,82,92.5,0,0
"63",0,228,5625.56,67,82.44,0,5933.33,44,44,88,0,0
"64",0,514,10986.55,88,98.21,160,8994.43,66,89,89.38,0,0
"65",0,374,2240.93,64,76.34,0,1847.86,34,36,74.41,0,0
"66",0,569,6273.29,67,83.5,0,2500,52,52,89.46,1,0
"67",0,356,9761.86,79,90.33,132,8289.57,43,54,86.94,0,0
"68",0,356,4441.07,60,83.45,120,3430,36,48,79.4,0,0
"69",0,395,5631.64,60,86,0,5382.47,55,68,82.2,0,0
"70",0,0,9913.6,79,81.6,546,8241.6,38,58,91.68,0,0
"71",1,586,3188.33,73,77.67,0,2111.11,53,69,82.8,0,0
"72",0,356,6522.17,61,86,144,5924.06,43,55,86.56,0,0
"73",0,514,9802.88,78,93.69,0,9103.62,57,67,88.46,0,0
"74",0,639,2862.86,25,80.33,0,2500,5,12,60.39,1,0
"75",0,404,6467.06,74,84.5,156,5266.21,45,61,84.06,0,0
"76",0,514,19044.33,78,83.8,0,22433.33,8,9,88.22,0,0
"77",0,326,5366,38,61.89,0,6208.33,17,30,40.25,0,0
"78",0,379,7938.08,78,88,0,6447.08,50,60,89.95,0,0
"79",0,356,1761.17,27,50.36,156,2166.67,25,21,72.64,0,0
"80",0,356,6360.76,78,83.9,156,5862.42,53,62,80.22,0,0
"81",0,639,3970.75,55,85.18,0,4200,32,41,73.18,0,0
"82",0,356,19363.38,100,99,168,21253.85,81,93,100,0,0
"83",0,356,3166.64,44,68.09,168,2960.57,7,10,57.88,0,0
"84",0,326,4670.33,67,86.95,0,3743.33,36,48,78.9,0,0
"85",0,399,5622.88,71,79.69,0,3900,24,27,78.36,0,0
"86",0,499,4107.38,21,55,160,3368.75,13,19,42.29,0,0
"87",0,356,11602.67,67,95.87,120,12630,48,50,69,1,0
"88",0,356,3648,71,71.7,156,4200,17,30,89.29,0,0
"89",0,356,1292.6,35,64.05,156,950,20,17,67.05,0,0
"90",0,594,3875.36,60,56.53,155,3369.09,27,41,76.2,1,0
"91",0,469,8225.5,57,76.92,0,10785,31,43,85.7,1,0
"92",0,669,3453.13,36,56.75,0,2938.89,17,24,63.07,0,0
"93",0,356,11874,78,94.2,156,10375,67,71,77.78,0,0
"94",0,0,3712.6,20,46.18,529,3550,0,0,58.9,0,0
"95",0,356,6936.86,67,76.32,144,7364.29,41,50,81.6,0,0
"96",0,514,4854.6,50,67.91,30,5455,19,21,82.55,0,0
"97",0,414,5531.14,55,80.79,180,5111.36,28,52,76.82,0,0
"98",0,591,2933.64,44,70,0,2672.73,22,18,80.38,0,1
"99",0,669,7363.73,29,74.62,0,6727.27,26,22,55.88,0,0
"100",0,360,8169.5,100,99.08,132,6537.5,92,89,100,0,1
"101",0,356,9441.5,71,91.06,132,9011.76,44,88,87.24,0,0
"102",0,669,7500,55,74.5,0,7500,36,31,70.73,0,0
"103",0,669,1934,56,78.33,0,1934,14,23,83,0,0
"104",0,356,7601.4,55,63.4,168,10000,22,33,76.41,1,0
"105",0,514,2146.71,64,68.33,0,2785.71,27,31,83.36,0,0
"106",0,356,7804.31,67,95,168,6573.08,80,83,70.44,0,0
"107",0,356,8441.68,100,98.25,120,8651.09,88,100,82.35,0,0
"108",0,356,8056.25,56,68,144,5250,23,42,71.56,0,0
"109",0,669,5761.17,78,92,0,1050,41,50,93.06,1,0
"110",0,326,14714.27,67,94.33,0,14027.27,77,75,83.67,0,0
"111",0,356,8209.33,77,79.53,144,8855.56,14,28,82.69,0,0
"112",1,0,3656.71,25,80.33,635,3066.67,19,32,50.87,1,0
"113",0,306,7412.27,69,93.64,144,4910.07,59,64,85.31,0,0
"114",0,0,5052.75,54,63.39,618,4353.85,27,50,63.81,0,0
"115",0,306,997.17,28,79.64,168,508.33,8,19,41,0,0
"116",0,669,3255.7,75,61.24,0,4114,23,30,77.21,0,0
"117",0,356,3275,25,51.6,120,2680,6,7,50,0,0
"118",0,499,6775,73,89.64,0,5562.5,53,54,91.55,0,0
"119",0,356,8005.52,87,80.59,168,8292,42,53,96.87,0,0
"120",0,669,4220,33,46.91,0,3530.67,13,15,54.89,0,0
"121",0,639,8214.32,86,92.79,0,7492.76,67,72,89.45,0,0
"122",0,356,17295.3,75,90.85,120,21610,62,73,90,0,0
"123",0,356,10363.17,55,81.11,316,9583.33,54,61,90.27,1,0
"124",0,0,9387.07,100,97.76,564,8080,56,67,100,1,0
"125",0,622,7513.98,67,86.33,0,6780.64,55,60,83.42,0,0
"126",0,306,10205.2,77,93.55,168,9175,50,78,82.59,0,0
"127",0,356,5382.79,82,81.96,120,4341,46,57,80,0,0
"128",0,356,8985.95,81,89.33,144,7149.55,68,81,91.26,0,0
"129",0,0,2413.42,79,78.22,543,2128.57,32,50,87.56,1,0
"130",0,564,4780,75,94,0,7433.33,22,44,75,0,0
"131",0,356,7630.71,82,87.22,168,6175,67,83,73.36,0,0
"132",0,356,3437,50,81.14,132,4132,40,38,79.25,0,0
"133",0,356,9081,78,88.8,156,9000,55,60,86.33,0,0
"134",0,569,4316.43,38,82.13,0,3292.86,16,39,55,0,0
"135",0,356,9050.69,56,85.63,156,7915.46,50,64,71.88,0,0
"136",0,639,3889.47,45,81.59,0,3220,23,28,69.65,0,0
"137",0,356,5011,50,53.08,144,6466.67,11,12,68.58,0,0
"138",0,0,6145.23,75,90.93,439,6728.36,39,41,86.05,0,0
"139",0,356,4346.53,73,81.66,168,4320.29,45,62,77.27,0,0
"140",0,499,14901.46,100,100,0,16207.69,75,87,100,0,0
"141",0,326,7153.33,30,71.8,0,7153.33,25,25,57.7,0,0
"142",0,356,4618.71,44,88.83,132,2563.46,16,11,83,1,0
"143",0,369,5275,43,93.53,0,5187.5,25,37,65.21,0,0
"144",0,356,9360.54,62,88.36,156,9004.75,54,67,83.91,0,0
"145",0,569,6356.25,43,76.4,0,4180,33,20,56.71,0,0
"146",0,639,9574.5,50,68.5,0,4156,50,67,76.75,0,0
"147",0,564,9914.93,79,93.3,0,8935.37,67,83,91.93,0,0
"148",0,639,737.5,29,67.86,160,500,22,22,66,1,0
"149",0,356,10200,29,62.5,156,10150,15,10,40.65,0,0
"150",0,569,4792,75,90.5,0,4133.25,42,56,83.33,0,0
"151",0,374,8569.18,89,88.92,0,7354.55,50,46,96.33,0,0
"152",0,639,6040.62,70,75.9,0,5627.47,37,50,85.98,0,0
"153",0,356,6090.3,47,70.78,156,3619.8,40,44,54.73,0,0
"154",0,275,8291.64,76,86.26,0,6567.86,42,48,93.88,0,0
"155",0,356,4279.67,29,60.43,168,3883.33,21,28,49.93,0,0
"156",0,356,6182.77,57,47.7,280,4307.78,13,29,72.18,1,0
"157",0,228,8661.83,36,67.33,0,8353.33,22,18,61.82,0,0
"158",0,356,13317.9,83,89.63,168,12025.8,44,56,82.57,0,0
"159",0,520,7336.18,56,92.88,0,8150,12,23,77.27,1,1
"160",0,214,6442.33,38,66.82,80,5363.89,37,41,56.08,0,0
"161",0,639,1954.17,32,58.48,0,2845.83,17,22,48.95,0,0
"162",0,310,12391.42,81,90.29,0,13715.79,60,68,85.38,0,1
"163",0,356,12870.45,55,71.82,132,11153.89,39,48,62.25,1,0
"164",0,669,8309.57,68,86,0,6800,30,29,77.07,0,0
"165",0,639,7357.19,70,83.17,0,6400,56,58,80.6,0,0
"166",0,0,850,44,45.25,594,850,18,7,53.33,0,0
"167",0,639,4411.76,63,92.96,0,4183.82,31,45,92.88,0,0
"168",0,544,9502.12,68,80.29,0,8144.44,38,38,80.95,0,0
"169",0,669,5450.5,76,84.56,0,3711.54,72,83,77.75,1,0
"170",0,444,3557.03,36,65.77,0,3565,15,23,64.59,0,0
"171",0,0,11649.83,100,99.11,523,9365.22,87,88,100,1,0
"172",0,356,10835.54,92,95.22,156,10158.46,63,69,84.94,0,0
"173",0,669,5479.17,26,65.81,0,3541.43,22,23,59.74,0,0
"174",0,639,4855.67,38,94.57,30,4300,38,50,87.5,0,0
"175",0,356,13470,88,81.67,144,11000,47,33,92.88,0,0
"176",0,564,13502.17,100,97.78,0,15083.33,89,80,100,0,0
"177",0,564,7887.5,67,85,0,4340,50,59,58.57,1,0
